Time(s),Instance_0,Instance_1,Instance_2
5s,14716439.36,14723775.28,14716925.18
10s,14809191.07,14808313.77,14806237.70
15s,14646661.71,14653391.79,14658230.33
20s,14756889.67,14773921.90,14765899.68
25s,14758753.44,14754765.35,14767166.63
30s,14756167.77,14738579.60,14736309.41
35s,14773375.81,14764767.53,14763366.92
40s,14832621.94,14834824.31,14837225.09
45s,14650338.79,14630014.76,14656899.73
50s,14749206.37,14742556.01,14750780.75
55s,14761524.22,14764452.35,14755569.93
60s,14341682.25,14328208.09,14312119.71
65s,14542413.69,14553776.43,14554457.97
70s,14727453.17,14737493.36,14731922.71
75s,14747213.99,14769401.62,14743407.61
80s,14755205.30,14768009.69,14768745.42
85s,14760492.41,14760824.86,14763137.02
90s,14579930.79,14578881.89,14582576.36
95s,14634940.85,14639525.25,14643695.06
100s,14788988.61,14776019.64,14769158.48
105s,14832866.40,14836840.06,14840075.00
110s,14757120.05,14746500.33,14763923.03
115s,14766374.74,14754929.04,14770448.24
120s,14763837.55,14753997.72,14785080.48
125s,14655272.31,14644580.09,14655736.69
130s,14626254.55,14630046.08,14631473.56
135s,14682174.73,14671391.10,14681096.12
140s,14774489.01,14762394.76,14779650.22
145s,14840978.00,14840591.10,14839703.64
150s,14749229.82,14747868.25,14733824.00
155s,14596659.85,14604254.72,14610708.78
160s,14754449.80,14762409.57,14762160.46
165s,14766533.35,14766356.43,14766786.38
170s,14765997.66,14764751.74,14768116.33
175s,14816617.36,14814560.35,14815626.04
Final_Avg_EPS,14718794.88,14717707.48,14720378.67
